,Vehicle,Location,Price,Kms,Model
0,Maruti Suzuki Baleno Alpha Diesel,Akota,"₹ 5,90,000"," 74,501 km",2016 
1,Hyundai Grand I10 i10 Magna 1.1 CRDi,Akota,"₹ 3,99,000"," 69,500 km",2014 
2,Volkswagen Ameo Mpi Highline Plus,Baroda Dairy Chowk,"₹ 6,25,000"," 15,000 km",2018.0 
3,Ashwamegh Nagar Baroda Innova Cysrta Airbags,Ashwamegh Nagar,"₹ 33,000",-,-
4,Maruti Suzuki Alto K10 LXi,Panchvati Chowk,"₹ 1,38,500"," 113,000 km",2010 
5,Maruti Suzuki 800 AC BS-III,Panchvati Chowk,"₹ 41,500"," 70,000 km",2000 
6,Maruti Suzuki Estilo LXi BS-IV,Panchvati Chowk,"₹ 1,68,500"," 55,000 km",2010 
7,Dandia bazar ,Dandia Bazar,"₹ 10,000",-,-
8,Fatehganj vadodara We Supply Airbags and Airbag,Ganga Sagar,"₹ 10,000",-,-
9,2011 Force Motors Force One diesel 49500 Kms,Chhani Jakat Naka,"₹ 4,00,000"," 48,500 km",2011 
10,New colour,Fatehpura,"₹ 2,75,000"," 48,000 km",2015 
11,Karjan MA jova malse faltu msg Na karta,Baroda Dairy Chowk,"₹ 1,85,786"," 42,036 km",2005 
12,Hyundai i20 magna 1.2 petrol cng 2010 1st owner,Vasna Road,"₹ 3,11,000"," 70,500 km",2010 
13,Indica Vista Aura Q-Jet,Subhanpura,"₹ 1,35,000"," 55,000 km",2010 
14,EICHER 10.75 10.80 10.59  runing in goaad condition,Tandalja,"₹ 5,00,000",-,-
15,Sweft 2008,Lalita Nagar,"₹ 2,60,000"," 120,000 km",2008 
16,Toyota Corolla Altis 1.8 G,Akota,"₹ 3,11,000"," 82,563 km",2009 
17,Maruti Suzuki Zen Estilo LXI,Akota,"₹ 1,91,000"," 72,541 km",2010 
18,Hyundai I20 i20 Asta 1.2,Akota,"₹ 2,99,000"," 48,852 km",2010 
19,Toyota Corolla Altis G Diesel,Akota,"₹ 5,15,000"," 72,512 km",2011 
