Price,Model,Year,Fuel,Milage
735008,mahindra-xuv500,2015,diesel,50000
737000,mahindra-xuv500,2015,diesel,52000
740000,mahindra-xuv500,2015,diesel,54000
790000,mahindra-xuv500,2016,diesel,125000
124999,mahindra-scorpio,2004,diesel,96000
800000,mahindra-xuv500,2014,diesel,30950
1050000,mahindra-xuv500,2015,diesel,53000
600111,mahindra-xuv500,2012,diesel,95000
260000,mahindra-scorpio,2007,diesel,150000
665000,mahindra-xuv500,2012,diesel,84000
485000,mahindra-bolero,2014,diesel,68000
700000,mahindra-scorpio,2010,diesel,140000
411000,mahindra-scorpio,2010,diesel,80000
380000,mahindra-scorpio,2010,diesel,123000
1051411,mahindra-xuv500,2015,diesel,91000
911000,mahindra-xuv500,2015,diesel,77800
450000,mahindra-xuv500,2012,diesel,127000
125000,mahindra-scorpio,2004,diesel,96000
1150000,mahindra-xuv500,2016,diesel,72000
800000,mahindra-xuv500,2015,diesel,90000
391000,mahindra-scorpio,2010,diesel,78000
1150000,mahindra-xuv500,2015,diesel,79000
138985,mahindra-scorpio,2005,diesel,69236
675000,mahindra-xuv500,2013,diesel,86000
1050000,mahindra-xuv500,2015,diesel,53000
399999,mahindra-scorpio,2009,diesel,185000
675000,mahindra-xuv500,2014,diesel,101000
900000,mahindra-xuv500,2015,diesel,72000
525000,mahindra-scorpio,2012,diesel,86000
300000,mahindra-scorpio,2009,diesel,99000
710000,mahindra-xuv500,2014,diesel,83000
310000,mahindra-scorpio,2007,diesel,115000
1000000,mahindra-scorpio,2015,diesel,58000
635000,mahindra-bolero,2017,diesel,31000
1099000,mahindra-xuv500,2015,diesel,65000
495000,mahindra-bolero,2014,diesel,111000
560000,mahindra-xuv500,2012,diesel,85442
599786,mahindra-bolero,2016,diesel,65000
1175000,mahindra-xuv500,2015,diesel,40000
475000,mahindra-bolero,2015,diesel,81500
650000,mahindra-xuv500,2012,diesel,85000
411000,mahindra-scorpio,2010,diesel,95000
651000,mahindra-xuv500,2014,diesel,114680
1199000,mahindra-xuv500,2018,diesel,22000
999000,mahindra-xuv500,2017,diesel,65000
985000,mahindra-xuv500,2015,diesel,61000
725000,mahindra-xuv500,2013,diesel,67000
611000,mahindra-bolero,2015,diesel,29999
920000,mahindra-xuv500,2018,diesel,60000
370000,mahindra-scorpio,2011,diesel,150000
685000,mahindra-xuv500,2012,diesel,29900
690000,mahindra-xuv500,2013,diesel,55000
1125000,mahindra-xuv500,2015,diesel,95000
785000,mahindra-xuv500,2014,diesel,59000
575000,mahindra-scorpio,2014,diesel,92000
900000,mahindra-xuv500,2014,diesel,50500
495000,mahindra-bolero,2013,diesel,99000
625000,mahindra-xuv500,2012,diesel,107000
790000,mahindra-xuv500,2014,diesel,55000
1175000,mahindra-xuv500,2016,diesel,45207
1121000,mahindra-scorpio,2016,diesel,55000
1425000,mahindra-xuv500,2018,diesel,23465
850000,mahindra-xuv500,2014,diesel,58000
550000,mahindra-bolero,2018,diesel,43000
785000,mahindra-xuv500,2014,diesel,58000
710000,mahindra-xuv500,2013,diesel,51000
550000,mahindra-xuv500,2012,diesel,83000
735000,mahindra-bolero,2018,diesel,35000
545000,mahindra-bolero,2015,diesel,54000
520000,mahindra-scorpio,2012,diesel,110000
595000,mahindra-xuv500,2012,diesel,75000
175000,mahindra-scorpio,2004,diesel,182000
320000,mahindra-scorpio,2011,diesel,180000
700000,mahindra-xuv500,2014,diesel,140000
990000,mahindra-xuv500,2015,diesel,72000
325000,mahindra-scorpio,2006,diesel,90000
399999,mahindra-bolero,2013,diesel,110000
139999,mahindra-scorpio,2002,diesel,161396
451000,mahindra-scorpio,2013,diesel,107000
700000,mahindra-xuv500,2013,diesel,65000
650000,mahindra-xuv500,2012,diesel,65000
900000,mahindra-xuv500,2014,diesel,56000
690000,mahindra-scorpio,2015,diesel,69000
656000,mahindra-xuv500,2012,diesel,108595
170000,mahindra-scorpio,2005,diesel,340000
525000,mahindra-bolero,2016,diesel,24000
1251000,mahindra-scorpio,2016,diesel,45400
525000,mahindra-xuv500,2012,diesel,99000
550000,mahindra-xuv500,2012,diesel,112500
700000,mahindra-xuv500,2012,diesel,88000
380000,mahindra-bolero,2011,diesel,12800
550000,mahindra-xuv500,2012,diesel,112500
625000,mahindra-xuv500,2012,diesel,103000
644000,mahindra-xuv500,2012,diesel,75000
1450000,mahindra-xuv500,2018,diesel,22000
575000,mahindra-bolero,2017,diesel,85100
280000,mahindra-scorpio,2007,diesel,102432
196500,mahindra-scorpio,2006,diesel,59000
850000,mahindra-xuv500,2015,diesel,90000
330000,mahindra-scorpio,2012,diesel,170000
750000,mahindra-xuv500,2014,diesel,105000
1175000,mahindra-xuv500,2015,diesel,40000
1175000,mahindra-xuv500,2015,diesel,40000
400000,mahindra-scorpio,2011,diesel,45000
1050000,mahindra-xuv500,2017,diesel,85000
311000,mahindra-scorpio,2008,diesel,98789
310000,mahindra-scorpio,2009,diesel,59000
1040000,mahindra-xuv500,2015,diesel,67000
1050000,mahindra-xuv500,2015,diesel,67000
950000,mahindra-xuv500,2016,diesel,75000
275000,mahindra-scorpio,2006,diesel,111000
800000,mahindra-xuv500,2014,diesel,60000
451000,mahindra-bolero,2013,diesel,78000
470000,mahindra-bolero,2015,diesel,60000
450000,mahindra-bolero,2012,diesel,238000
265000,mahindra-bolero,2009,diesel,80000
1225000,mahindra-xuv500,2015,diesel,130000
635000,mahindra-bolero,2017,diesel,62000
635000,mahindra-bolero,2017,diesel,84000
635000,mahindra-bolero,2017,diesel,45000
450000,mahindra-bolero,2010,diesel,84000
285000,mahindra-bolero,2010,diesel,88000
650000,mahindra-bolero,2017,diesel,38000
1075000,mahindra-scorpio,2016,diesel,70200
1090000,mahindra-xuv500,2015,diesel,80000
1075000,mahindra-xuv500,2015,diesel,58000
890000,mahindra-xuv500,2016,diesel,60000
700000,mahindra-xuv500,2013,diesel,72000
640000,mahindra-xuv500,2013,diesel,65750
575000,mahindra-xuv500,2012,diesel,65750
235000,mahindra-scorpio,2006,diesel,71313
485000,mahindra-xuv500,2012,diesel,80298
825000,mahindra-xuv500,2014,diesel,70000
295000,mahindra-scorpio,2009,diesel,160000
451000,mahindra-xuv500,2012,diesel,150000
485000,mahindra-xuv500,2012,diesel,80298
790000,mahindra-xuv500,2014,diesel,78000
460000,mahindra-bolero,2013,diesel,92000
999001,mahindra-xuv500,2012,diesel,93000
550000,mahindra-xuv500,2012,diesel,60000
1351000,mahindra-xuv500,2017,diesel,31000
170000,mahindra-scorpio,2005,diesel,100000
450000,mahindra-bolero,2013,diesel,83000
1200000,mahindra-xuv500,2015,diesel,70500
